iter	Logloss
0	0.6839400258
1	0.6766779849
2	0.6704775959
3	0.6645744703
4	0.6561353417
5	0.6490453704
6	0.6406504253
7	0.6342628959
8	0.6288976213
9	0.6236031209
10	0.6175773534
11	0.6119518368
12	0.6076657793
13	0.6014701275
14	0.5967796534
15	0.5918958877
16	0.5878840448
17	0.5829503677
18	0.5786422215
19	0.5744275296
20	0.5721818498
21	0.5667353723
22	0.5624155483
23	0.5595408813
24	0.5559876972
25	0.553031536
26	0.5510680758
27	0.5468069063
28	0.5430092987
29	0.5407653507
30	0.5386252614
31	0.5361572833
32	0.5330348535
33	0.5311717635
34	0.5283719649
35	0.5260164507
36	0.5227213163
37	0.5191724731
38	0.5166867616
39	0.5145252172
40	0.5119529022
41	0.5101598546
42	0.5078193794
43	0.5074611126
44	0.5038422983
45	0.5013887591
46	0.4980313118
47	0.4973018939
48	0.4945745819
49	0.4931463559
50	0.4913525971
51	0.4887254837
52	0.4862591793
53	0.4844131063
54	0.4820118739
55	0.4797071546
56	0.477985832
57	0.4750477249
58	0.4739143231
59	0.4726113932
60	0.4713257078
61	0.4692302742
62	0.4661038462
63	0.4642749663
64	0.4621378276
65	0.4597257575
66	0.4588069963
67	0.4554298642
68	0.4532918571
69	0.4509755493
70	0.4495474626
71	0.4481848737
72	0.4464541018
73	0.4449280187
74	0.4440201252
75	0.4417240232
76	0.4405395317
77	0.4388116128
78	0.4364086893
79	0.4348328487
80	0.4333108514
81	0.4326573532
82	0.4305913294
83	0.4286021552
84	0.4281633053
85	0.4270655393
86	0.4250378842
87	0.422186572
88	0.4207415895
89	0.4175966851
90	0.4160228697
91	0.416015157
92	0.4137260452
93	0.4122572294
94	0.4103903946
95	0.4085731268
96	0.4065821995
97	0.405299447
98	0.4035632493
99	0.4027083564
100	0.4010982532
101	0.4006681274
102	0.3993937943
103	0.3982170745
104	0.3966120998
105	0.3953423761
106	0.3944502273
107	0.3943357414
108	0.3933725739
109	0.3924815468
110	0.3906826998
111	0.3898431033
112	0.3893860583
113	0.3877175734
114	0.3868813131
115	0.384848636
116	0.3835431508
117	0.3817691077
118	0.3809936235
119	0.3803007862
120	0.3790258774
121	0.3779269738
122	0.3764931129
123	0.3746032918
124	0.3731016581
125	0.3714747826
126	0.3707647849
127	0.3694540447
128	0.3680753556
129	0.3668789287
130	0.3657560648
131	0.3647632899
132	0.3629217564
133	0.3621805286
134	0.360281025
135	0.3593034438
136	0.3582831839
137	0.3562868983
138	0.3557531013
139	0.3545788528
140	0.353113979
141	0.3519825565
142	0.3505053999
143	0.3493879682
144	0.3482387872
145	0.3470522582
146	0.3463614004
147	0.345280441
148	0.344034348
149	0.3433951686
150	0.3425409441
151	0.3408231826
152	0.3397593197
153	0.3389514804
154	0.3386616584
155	0.3378305315
156	0.3359702914
157	0.3359211356
158	0.3347285506
159	0.3329469532
160	0.3326519391
161	0.3316565975
162	0.331374289
163	0.3299587486
164	0.329350334
165	0.3279277723
166	0.3267510294
167	0.3262554012
168	0.3253848731
169	0.3247343077
170	0.3237875168
171	0.3231933553
172	0.3217971503
173	0.3214038975
174	0.3200910553
175	0.3189709005
176	0.3180201816
177	0.3173753163
178	0.3167671811
179	0.3160638938
180	0.3153829707
181	0.3147257937
182	0.3139978522
183	0.3132035026
184	0.3122449635
185	0.3114110291
186	0.3093126945
187	0.3080014674
188	0.3073259497
189	0.3064928343
190	0.3058367334
191	0.3042291076
192	0.3030041435
193	0.3019139277
194	0.301331444
195	0.3005272945
196	0.2997509106
197	0.2982519254
198	0.2973352195
199	0.2964291979
