iter	Passed	Remaining
0	161	32225
1	164	16255
2	166	10902
3	167	8224
4	171	6679
5	174	5642
6	177	4901
7	180	4327
8	182	3870
9	184	3513
10	187	3222
11	199	3124
12	201	2900
13	204	2719
14	207	2558
15	209	2414
16	212	2289
17	215	2179
18	218	2076
19	220	1984
20	221	1891
21	224	1817
22	227	1749
23	229	1685
24	232	1624
25	233	1565
26	235	1510
27	237	1458
28	239	1411
29	241	1367
30	243	1325
31	245	1287
32	247	1250
33	249	1215
34	251	1187
35	255	1164
36	258	1137
37	260	1111
38	263	1087
39	266	1064
40	268	1041
41	271	1019
42	273	998
43	274	973
44	277	954
45	279	935
46	283	923
47	284	902
48	286	883
49	288	865
50	290	848
51	292	832
52	294	816
53	297	803
54	299	790
55	301	775
56	303	761
57	305	747
58	307	734
59	309	721
60	311	709
61	313	697
62	314	684
63	316	673
64	318	661
65	320	650
66	322	639
67	324	629
68	326	619
69	328	609
70	330	599
71	331	589
72	333	580
73	335	570
74	337	561
75	338	553
76	340	543
77	342	535
78	344	527
79	346	519
80	347	511
81	349	503
82	351	495
83	353	487
84	354	480
85	357	473
86	359	466
87	361	460
88	363	452
89	365	446
90	366	439
91	367	431
92	369	425
93	371	419
94	374	413
95	376	407
96	377	401
97	379	394
98	381	389
99	383	383
100	385	377
101	387	371
102	388	366
103	391	361
104	393	355
105	395	350
106	397	345
107	398	339
108	399	333
109	401	328
110	403	323
111	405	318
112	407	313
113	408	308
114	410	303
115	412	298
116	414	293
117	416	289
118	417	284
119	419	279
120	422	275
121	424	271
122	425	266
123	427	262
124	429	257
125	431	253
126	433	249
127	435	245
128	437	240
129	439	236
130	441	232
131	443	228
132	445	224
133	446	220
134	448	216
135	450	212
136	452	208
137	454	204
138	456	200
139	458	196
140	460	192
141	462	188
142	475	189
143	477	185
144	479	182
145	481	178
146	483	174
147	486	170
148	488	167
149	491	163
150	493	160
151	495	156
152	497	152
153	500	149
154	502	145
155	505	142
156	507	138
157	508	135
158	509	131
159	511	127
160	512	124
161	514	120
162	517	117
163	518	113
164	521	110
165	523	107
166	525	103
167	527	100
168	529	97
169	532	93
170	534	90
171	536	87
172	538	83
173	540	80
174	541	77
175	543	74
176	546	70
177	548	67
178	550	64
179	552	61
180	554	58
181	556	55
182	558	51
183	559	48
184	561	45
185	564	42
186	566	39
187	568	36
188	569	33
189	571	30
190	573	27
191	575	23
192	576	20
193	579	17
194	581	14
195	582	11
196	584	8
197	586	5
198	588	2
199	590	0
