,Logistic Regression,SVM,Random Forest,XGBoost,LightGBM,CatBoost,Mean
credit_history,0.0813,0.1184,0.1292,0.1548,0.137,0.1403,0.1268
applicant_income,0.0126,0.0183,0.0308,0.0238,0.0481,0.0105,0.024
coapplicant_income,0.0087,0.0226,0.0254,0.0284,0.0322,0.021,0.023
property_area_Semiurban,0.033,0.0248,0.0181,-0.0003,0.0099,0.0201,0.0176
total_income,0.0004,0.0167,0.0383,-0.0093,0.0176,0.0203,0.014
married,0.0101,0.002,0.0254,0.0039,0.0086,0.0036,0.0089
education,-0.0079,-0.0017,0.0149,0.0089,0.0028,0.0037,0.0035
is_standard_term,0.0159,0.0017,0.0079,-0.0023,0.0012,-0.0039,0.0034
gender,-0.0035,0.0071,0.0062,0.008,0.0045,-0.0028,0.0033
has_coapplicant,0.0003,0.0007,0.0037,0.0001,0.0056,0.0016,0.002
self_employed,-0.0013,0.0015,-0.0003,-0.0017,-0.0011,0.0009,-0.0003
dependents,0.0047,0.0125,0.0053,-0.0135,-0.0116,-0.0002,-0.0005
loan_amount,-0.0271,-0.0044,0.0133,0.0039,0.0111,-0.0066,-0.0016
property_area_Urban,-0.015,0.0116,0.005,-0.0058,-0.006,-0.0088,-0.0032
loan_amount_term,-0.0259,-0.0044,0.0066,-0.0133,-0.0104,-0.0019,-0.0082
