Threshold,Precision,Recall,F1,MCC,FP,FN,TP,TN
0.01,0.7157,1.0,0.8343,0.0,29,0,73,0
0.02,0.73,1.0,0.8439,0.2244,27,0,73,2
0.03,0.7604,1.0,0.8639,0.3966,23,0,73,6
0.04,0.7684,1.0,0.869,0.4307,22,0,73,7
0.05,0.7849,1.0,0.8795,0.4936,20,0,73,9
0.06,0.7849,1.0,0.8795,0.4936,20,0,73,9
0.07,0.7849,1.0,0.8795,0.4936,20,0,73,9
0.08,0.7849,1.0,0.8795,0.4936,20,0,73,9
0.09,0.7935,1.0,0.8848,0.5231,19,0,73,10
0.1,0.7935,1.0,0.8848,0.5231,19,0,73,10
0.11,0.7935,1.0,0.8848,0.5231,19,0,73,10
0.12,0.7935,1.0,0.8848,0.5231,19,0,73,10
0.13,0.7912,0.9863,0.878,0.4815,19,1,72,10
0.14,0.7912,0.9863,0.878,0.4815,19,1,72,10
0.15,0.7912,0.9863,0.878,0.4815,19,1,72,10
0.16,0.7912,0.9863,0.878,0.4815,19,1,72,10
0.17,0.7912,0.9863,0.878,0.4815,19,1,72,10
0.18,0.8,0.9863,0.8834,0.5119,18,1,72,11
0.19,0.7978,0.9726,0.8765,0.476,18,2,71,11
0.2,0.8068,0.9726,0.882,0.5065,17,2,71,12
0.21,0.8068,0.9726,0.882,0.5065,17,2,71,12
0.22,0.8068,0.9726,0.882,0.5065,17,2,71,12
0.23,0.8068,0.9726,0.882,0.5065,17,2,71,12
0.24,0.8068,0.9726,0.882,0.5065,17,2,71,12
0.25,0.8046,0.9589,0.875,0.4747,17,3,70,12
0.26,0.8046,0.9589,0.875,0.4747,17,3,70,12
0.27,0.8046,0.9589,0.875,0.4747,17,3,70,12
0.28,0.8235,0.9589,0.8861,0.5346,15,3,70,14
0.29,0.8434,0.9589,0.8974,0.5916,13,3,70,16
0.3,0.8434,0.9589,0.8974,0.5916,13,3,70,16
0.31,0.8537,0.9589,0.9032,0.6193,12,3,70,17
0.32,0.8519,0.9452,0.8961,0.5928,12,4,69,17
0.33,0.8519,0.9452,0.8961,0.5928,12,4,69,17
0.34,0.8519,0.9452,0.8961,0.5928,12,4,69,17
0.35,0.8625,0.9452,0.902,0.6206,11,4,69,18
0.36,0.8625,0.9452,0.902,0.6206,11,4,69,18
0.37,0.8625,0.9452,0.902,0.6206,11,4,69,18
0.38,0.8625,0.9452,0.902,0.6206,11,4,69,18
0.39,0.8625,0.9452,0.902,0.6206,11,4,69,18
0.4,0.8625,0.9452,0.902,0.6206,11,4,69,18
0.41,0.8718,0.9315,0.9007,0.6239,10,5,68,19
0.42,0.8718,0.9315,0.9007,0.6239,10,5,68,19
0.43,0.8701,0.9178,0.8933,0.6009,10,6,67,19
0.44,0.8701,0.9178,0.8933,0.6009,10,6,67,19
0.45,0.8701,0.9178,0.8933,0.6009,10,6,67,19
0.46,0.8684,0.9041,0.8859,0.5789,10,7,66,19
0.47,0.8684,0.9041,0.8859,0.5789,10,7,66,19
0.48,0.8667,0.8904,0.8784,0.5578,10,8,65,19
0.49,0.8667,0.8904,0.8784,0.5578,10,8,65,19
0.5,0.8667,0.8904,0.8784,0.5578,10,8,65,19
0.51,0.8649,0.8767,0.8707,0.5376,10,9,64,19
0.52,0.8649,0.8767,0.8707,0.5376,10,9,64,19
0.53,0.8649,0.8767,0.8707,0.5376,10,9,64,19
0.54,0.8649,0.8767,0.8707,0.5376,10,9,64,19
0.55,0.8649,0.8767,0.8707,0.5376,10,9,64,19
0.56,0.8649,0.8767,0.8707,0.5376,10,9,64,19
0.57,0.8649,0.8767,0.8707,0.5376,10,9,64,19
0.58,0.8649,0.8767,0.8707,0.5376,10,9,64,19
0.59,0.8649,0.8767,0.8707,0.5376,10,9,64,19
